"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Washington"	"53"	31	279700	11.1
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"West Virginia"	"54"	13	52462	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Wisconsin"	"55"	23	185502	12.4
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Alabama"	"01"	13	147599	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Arizona"	"04"	34	235679	14.4
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Arkansas"	"05"	16	95024	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"California"	"06"	120	1487711	8.1
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Colorado"	"08"	30	224424	13.4
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Connecticut"	"09"	11	111236	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Florida"	"12"	69	666771	10.3
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Georgia"	"13"	33	342470	9.6
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Hawaii"	"15"	11	52055	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Illinois"	"17"	44	440152	10.0
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Indiana"	"18"	28	208659	13.4
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Iowa"	"19"	13	99856	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Kansas"	"20"	17	96236	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Kentucky"	"21"	20	138734	14.4
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Louisiana"	"22"	18	164250	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Maryland"	"24"	21	205133	10.2
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Massachusetts"	"25"	22	236497	9.3
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Michigan"	"26"	40	298658	13.4
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Minnesota"	"27"	23	195579	11.8
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Missouri"	"29"	37	199582	18.5
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Nebraska"	"31"	10	66142	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Nevada"	"32"	11	109499	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"New Jersey"	"34"	17	293556	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"New Mexico"	"35"	11	70743	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"New York"	"36"	63	704905	8.9
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"North Carolina"	"37"	31	322231	9.6
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Ohio"	"39"	59	364063	16.2
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Oklahoma"	"40"	30	134189	22.4
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Oregon"	"41"	20	146521	13.6
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Pennsylvania"	"42"	43	413661	10.4
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"South Carolina"	"45"	14	154446	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Tennessee"	"47"	26	214133	12.1
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Texas"	"48"	98	1036504	9.5
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Utah"	"49"	15	109430	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Virginia"	"51"	20	294182	6.8
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Washington"	"53"	31	279700	11.1
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"West Virginia"	"54"	13	52462	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Wisconsin"	"55"	23	185502	12.4
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"California"	"06"	37	1487711	2.5
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Florida"	"12"	15	666771	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Georgia"	"13"	11	342470	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Idaho"	"16"	10	55919	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Missouri"	"29"	15	199582	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"North Carolina"	"37"	13	322231	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Oklahoma"	"40"	17	134189	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Oregon"	"41"	12	146521	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Texas"	"48"	12	1036504	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Utah"	"49"	14	109430	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Virginia"	"51"	21	294182	7.1
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Washington"	"53"	21	279700	7.5
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of head, part unspecified"	"S01.9"	"Wisconsin"	"55"	17	185502	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"California"	"06"	16	1487711	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Florida"	"12"	18	666771	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Georgia"	"13"	11	342470	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Missouri"	"29"	12	199582	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Oklahoma"	"40"	15	134189	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Oregon"	"41"	10	146521	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Utah"	"49"	14	109430	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Virginia"	"51"	21	294182	7.1
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Open wound of unspecified body region"	"T14.1"	"Washington"	"53"	19	279700	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"California"	"06"	41	1487711	2.8
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Florida"	"12"	19	666771	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Georgia"	"13"	12	342470	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Idaho"	"16"	12	55919	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Iowa"	"19"	11	99856	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Missouri"	"29"	18	199582	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"North Carolina"	"37"	15	322231	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Oklahoma"	"40"	18	134189	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Oregon"	"41"	15	146521	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Texas"	"48"	16	1036504	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Utah"	"49"	15	109430	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Virginia"	"51"	24	294182	8.2
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Washington"	"53"	23	279700	8.2
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by handgun discharge"	"X72"	"Intentional self-harm by handgun discharge"	"X72"	"Wisconsin"	"55"	18	185502	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Open wound of head, part unspecified"	"S01.9"	"Florida"	"12"	12	666771	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Open wound of unspecified body region"	"T14.1"	"Florida"	"12"	12	666771	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Open wound of unspecified body region"	"T14.1"	"Texas"	"48"	11	1036504	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"California"	"06"	11	1487711	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Florida"	"12"	12	666771	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Texas"	"48"	15	1036504	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Alabama"	"01"	22	147599	14.9
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Arizona"	"04"	28	235679	11.9
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"California"	"06"	26	1487711	1.7
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Colorado"	"08"	19	224424	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Florida"	"12"	43	666771	6.4
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Georgia"	"13"	44	342470	12.8
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Illinois"	"17"	26	440152	5.9
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Indiana"	"18"	23	208659	11.0
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Kentucky"	"21"	15	138734	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Louisiana"	"22"	24	164250	14.6
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Michigan"	"26"	21	298658	7.0
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Minnesota"	"27"	10	195579	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Missouri"	"29"	18	199582	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Montana"	"30"	10	33616	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Nevada"	"32"	13	109499	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"New York"	"36"	13	704905	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"North Carolina"	"37"	28	322231	8.7
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Ohio"	"39"	28	364063	7.7
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Pennsylvania"	"42"	39	413661	9.4
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"South Carolina"	"45"	26	154446	16.8
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Tennessee"	"47"	25	214133	11.7
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Texas"	"48"	83	1036504	8.0
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Virginia"	"51"	17	294182	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Arizona"	"04"	26	235679	11.0
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"California"	"06"	15	1487711	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Florida"	"12"	43	666771	6.4
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Georgia"	"13"	21	342470	6.1
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Illinois"	"17"	13	440152	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Indiana"	"18"	14	208659	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Louisiana"	"22"	16	164250	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Michigan"	"26"	11	298658	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Missouri"	"29"	12	199582	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"New York"	"36"	12	704905	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"North Carolina"	"37"	18	322231	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Ohio"	"39"	23	364063	6.3
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Pennsylvania"	"42"	20	413661	4.8
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"South Carolina"	"45"	15	154446	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Tennessee"	"47"	19	214133	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Texas"	"48"	65	1036504	6.3
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Virginia"	"51"	14	294182	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Alabama"	"01"	24	147599	16.3
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Arizona"	"04"	31	235679	13.2
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"California"	"06"	33	1487711	2.2
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Colorado"	"08"	22	224424	9.8
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Florida"	"12"	45	666771	6.7
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Georgia"	"13"	47	342470	13.7
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Illinois"	"17"	30	440152	6.8
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Indiana"	"18"	31	208659	14.9
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Kansas"	"20"	10	96236	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Kentucky"	"21"	18	138734	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Louisiana"	"22"	32	164250	19.5
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Michigan"	"26"	24	298658	8.0
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Minnesota"	"27"	13	195579	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Missouri"	"29"	19	199582	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Montana"	"30"	10	33616	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Nevada"	"32"	13	109499	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"New Jersey"	"34"	10	293556	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"New York"	"36"	14	704905	Unreliable
